,0,1,2
0,2.0817251,2.0384796,2.024065
1,2.7739313,2.6650372,2.6589074
2,2.4289126,2.364816,2.3960838
3,2.5465941,2.4755015,2.4970374
4,2.2664616,2.2120204,2.2573733
5,2.6711447,2.5847254,2.5969326
6,2.8201084,2.7037659,2.687667
7,1.7330444,1.7106102,1.6958158
8,1.9648777,1.9283719,1.9960365
9,2.7024796,2.6076827,2.6146886
10,2.731397,2.6296744,2.6323733
11,2.8846781,2.7580462,2.727878
12,2.7567708,2.6505241,2.6483288
13,2.6515193,2.5741925,2.585834
14,2.0807414,2.0375772,2.0153375
15,2.7743373,2.665372,2.6592054
16,2.8430154,2.723021,2.7019553
17,2.6718187,2.5854993,2.5974412
18,2.747312,2.6425743,2.6424365
19,2.8296456,2.7117796,2.6936607
20,2.7741299,2.6654868,2.6589804
21,2.9370382,2.802053,2.7605262
22,2.7482731,2.6438003,2.6428742
23,2.8142455,2.6999454,2.6836371
24,2.6161697,2.541357,2.4113107
25,2.6732905,2.5838532,2.5969453
26,2.7759643,2.666658,2.6602917
27,1.2921441,1.296113,1.2500417
28,2.8880363,2.760931,2.7299414
29,1.8995987,1.8673271,1.816432
30,1.9999862,1.9617393,1.9051722
31,2.15003,2.1025953,2.1275787
32,2.6657228,2.5770283,2.591884
33,2.655487,2.572257,2.5875382
34,2.4707217,2.4041333,2.4340777
35,2.66919,2.5836964,2.596018
36,1.7333752,1.7109425,1.6886847
37,2.688536,2.5959382,2.6060624
38,2.71979,2.6243658,2.6267648
39,1.514272,1.5047603,1.5370322
40,2.2663226,2.2118933,2.2558618
41,2.7307615,2.629849,2.6317186
42,2.1857588,2.1361098,2.1898966
43,2.6374526,2.5589094,2.5771313
44,2.6399531,2.5598145,2.578072
45,2.2779126,2.2227902,2.2672758
46,2.7574446,2.6513581,2.6486163
47,2.0066624,1.9680221,1.9097028
48,2.2541962,2.2006025,2.2053466
49,1.9417804,1.9069822,1.8593137
50,2.772169,2.663486,2.6578174
51,1.9441586,1.9091908,1.8711653
52,2.2229948,2.17131,2.1597495
53,2.6821213,2.5940433,2.6038804
54,2.2702494,2.2155786,2.2621417
55,2.0323534,1.9919134,2.0269558
56,2.4087505,2.3458486,2.380141
57,2.1465921,2.0994225,2.1035461
58,2.0772176,2.0341601,2.0482051
59,2.988659,2.845459,2.792663
60,2.6623297,2.5757842,2.5905974
61,2.7157092,2.6180563,2.6225305
62,2.6837194,2.5922232,2.6031923
63,2.4316025,2.3673372,2.4014454
64,2.7415762,2.6377587,2.6388502
65,1.6119647,1.5967208,1.5945861
66,1.9348452,1.9003441,1.8935713
67,2.767445,2.6598053,2.6548476
68,2.8107028,2.696127,2.681675
69,2.8032784,2.6896653,2.6771874
70,2.6635256,2.579958,2.593009
71,1.9171932,1.8838336,1.8462145
72,1.9733732,1.9366302,1.9096416
73,2.7283726,2.6319032,2.632024
74,2.7731175,2.6642642,2.6584628
75,2.7002585,2.6038082,2.6128862
76,2.9197698,2.787527,2.7498112
77,2.6731381,2.583466,2.5967107
78,2.7840507,2.6734529,2.6654572
79,2.6685848,2.5812411,2.594636
80,2.6979647,2.6019812,2.6114385
81,1.8732443,1.8424917,1.8104783
82,2.448152,2.382906,2.4145207
83,2.0625591,2.0204537,2.0073516
84,2.201373,2.150858,2.1816201
85,1.6646986,1.6463103,1.6431191
86,1.9282451,1.8942835,1.8364196
87,2.3650155,2.3047166,2.3414822
88,2.9238763,2.7909813,2.752252
89,2.8232832,2.70643,2.6897001
90,2.6994696,2.6035347,2.6122296
91,2.8057003,2.6916418,2.6788664
92,2.4637506,2.3977122,2.3808084
93,2.6400752,2.5599685,2.5781732
94,2.7384746,2.636541,2.6365218
95,2.3316538,2.2733355,2.3137717
96,2.151775,2.1043665,2.083707
